,geometry,EV_stations_counts,EV_stations_geomery,population,landuse,nodes,edges,density,parking_count,parking_types,restaurant_count,library_count,university_count,school_count,park_count,townhall_count,Community_centre_count,government_count,civic_count,commercial_count,retail_count,place_of_worship_count
0,"POLYGON ((8.4727605 50.099822499999995, 8.4730941 50.100127999999984, 8.4736342 50.1006362, 8.4736362 50.10063819999999, 8.4736634 50.10066440000001, 8.4737029 50.1006471, 8.4743212 50.1012979, 8.4743583 50.101337400000006, 8.474636 50.101352199999994, 8.4747022 50.101337399999984, 8.4755573 50.101147099999984, 8.4775224 50.1027091, 8.4775312 50.102716099999995, 8.4775625 50.10274090000001, 8.4775063 50.10276339999999, 8.4774178 50.102798799999995, 8.4773001 50.102846, 8.4775730092433 50.10302720327834, 8.479703185399107 50.10303676838571, 8.479750879173663 50.09863320231676, 8.473629724641425 50.098605613090946, 8.4740991 50.0991639, 8.4741237 50.0991916, 8.4737533 50.09936299999999, 8.4734101 50.0995219, 8.4731258 50.099653399999994, 8.4727605 50.099822499999995))",0,[],9.014050981911808,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
1,"POLYGON ((8.4775730092433 50.10302720327834, 8.4790784 50.10402669999999, 8.4791124 50.1040493, 8.4792883 50.10416599999999, 8.479688060978736 50.10443297769501, 8.479703185399107 50.10303676838571, 8.4775730092433 50.10302720327834))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
2,"POLYGON ((8.479750879173663 50.09863320231676, 8.479781921400889 50.09576648588517, 8.4768599 50.09711639999999, 8.475521800000001 50.0976738, 8.4734765 50.098423399999994, 8.4735031 50.098455, 8.473629724641425 50.098605613090946, 8.479750879173663 50.09863320231676))",0,[],9.014050981911808,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
3,"POLYGON ((8.479688060978736 50.10443297769501, 8.4809558 50.105279599999996, 8.4809436 50.1052889, 8.4805322 50.10560610000001, 8.4801887 50.10587089999999, 8.4801497 50.105901, 8.4799677 50.106027999999995, 8.4797572 50.1061749, 8.479668519629676 50.10623677252525, 8.47965547981383 50.107440331063444, 8.486633752580142 50.1074713937858, 8.486680818460949 50.10306782628843, 8.479703185399107 50.10303676838571, 8.479688060978736 50.10443297769501))",0,[],9.014050981911808,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
4,"POLYGON ((8.47965547981383 50.107440331063444, 8.479619733202968 50.11073927914987, 8.4796221 50.11074099999999, 8.4798725 50.110345300000006, 8.4799543 50.1102012, 8.4820211 50.10925880000001, 8.4820776 50.1092327, 8.4823951 50.10953929999999, 8.483066 50.10925410000001, 8.4855434 50.10819649999999, 8.485885 50.108081099999985, 8.486629935450818 50.10782848324543, 8.486633752580142 50.1074713937858, 8.47965547981383 50.107440331063444))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
5,"POLYGON ((8.486680818460949 50.10306782628843, 8.486727872689391 50.09866425540072, 8.479750879173663 50.09863320231676, 8.479703185399107 50.10303676838571, 8.486680818460949 50.10306782628843))",0,[],9.014050981911808,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
6,"POLYGON ((8.486727872689391 50.09866425540072, 8.486774915269228 50.094260681122606, 8.479798561141305 50.09422963285652, 8.479783019941165 50.095665028375926, 8.4799044 50.0957099, 8.479781921400889 50.09576648588517, 8.479750879173663 50.09863320231676, 8.486727872689391 50.09866425540072))",0,[],9.01405098191181,Other,21,31,0.07380952380952381,1,{},0,0,0,0,0,0,0,0,0,0,0,0
7,"POLYGON ((8.486774915269228 50.094260681122606, 8.486821946204207 50.08985710345397, 8.485293031307206 50.089850335317095, 8.485445 50.08998939999999, 8.4840046 50.090604199999994, 8.4814093 50.0919943, 8.4817798 50.0923395, 8.47980684211217 50.09346474945876, 8.479804551652933 50.09367631421454, 8.479918400000003 50.0937453, 8.4798025612869 50.09386015796142, 8.479798561141305 50.09422963285652, 8.486774915269228 50.094260681122606))",0,[],9.014050981911808,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
8,"POLYGON ((8.486821946204207 50.08985710345397, 8.486833058286967 50.08881650259035, 8.4851223 50.08969409999999, 8.485293031307206 50.089850335317095, 8.486821946204207 50.08985710345397))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
9,"POLYGON ((8.486629935450818 50.10782848324543, 8.4872568 50.1076159, 8.4875056 50.1075317, 8.487656393299554 50.107475910679916, 8.486633752580142 50.1074713937858, 8.486629935450818 50.10782848324543))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
10,"POLYGON ((8.487656393299554 50.107475910679916, 8.4880678 50.107323699999995, 8.488811000000002 50.107378600000004, 8.4898793 50.1071123, 8.4901447 50.10704609999999, 8.4913818 50.106679799999995, 8.491396 50.1067097, 8.4914578 50.1068407, 8.4915151 50.10696169999999, 8.4915618 50.10708829999999, 8.491713558167401 50.10749374198629, 8.492834306749671 50.107498642703725, 8.4931487 50.10729349999999, 8.4933296 50.10717549999999, 8.493576 50.1070019, 8.493617620139101 50.10697257127035, 8.493658463625868 50.10309846489025, 8.486680818460949 50.10306782628843, 8.486633752580142 50.1074713937858, 8.487656393299554 50.107475910679916))",0,[],9.014050981911808,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
11,"POLYGON ((8.491713558167401 50.10749374198629, 8.4919062 50.1080084, 8.4919351 50.10808569999999, 8.4923448 50.1078181, 8.4924937 50.1077208, 8.4925534 50.107681899999996, 8.4927651 50.107543799999995, 8.492834306749671 50.107498642703725, 8.491713558167401 50.10749374198629))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
12,"POLYGON ((8.493658463625868 50.10309846489025, 8.493704878304298 50.09869488924884, 8.486727872689391 50.09866425540072, 8.486680818460949 50.10306782628843, 8.493658463625868 50.10309846489025))",0,[],9.014050981911808,Other,0,0,0.0,0,{},1,0,0,0,0,0,0,0,0,0,0,0
13,"POLYGON ((8.493704878304298 50.09869488924884, 8.493751281492429 50.09429131021788, 8.486774915269228 50.094260681122606, 8.486727872689391 50.09866425540072, 8.493704878304298 50.09869488924884))",0,[],9.014050981911808,Other,23,49,0.09683794466403162,2,{'surface': 2},1,0,0,0,0,0,1,0,0,2,7,3
14,"POLYGON ((8.493751281492429 50.09429131021788, 8.49379767319396 50.08988772779729, 8.486821946204207 50.08985710345397, 8.486774915269228 50.094260681122606, 8.493751281492429 50.09429131021788))",0,[],9.014050981911804,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
15,"POLYGON ((8.49379767319396 50.08988772779729, 8.493843197809632 50.085565387404635, 8.4934824 50.0855093, 8.493316187733788 50.085481839393736, 8.487748099396718 50.08545740474334, 8.4878996 50.085888, 8.4869325 50.086183600000005, 8.4873249 50.087104899999986, 8.4878229 50.08830869999999, 8.486833058286967 50.08881650259035, 8.486821946204207 50.08985710345397, 8.49379767319396 50.08988772779729))",0,[],9.014050981911808,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
16,"POLYGON ((8.493316187733788 50.085481839393736, 8.4930345 50.08543530000001, 8.4927781 50.085393, 8.4924092 50.085332, 8.4921255 50.0852754, 8.4918566 50.0852217, 8.4916027 50.08517099999999, 8.4915194 50.08515439999999, 8.4912312 50.085122399999996, 8.4910327 50.085100499999996, 8.4909127 50.08508719999998, 8.4907187 50.08506620000001, 8.4900773 50.08499679999999, 8.4893644 50.0849197, 8.4890878 50.08488979999999, 8.488903 50.08442019999998, 8.4886797 50.0845009, 8.4884216 50.08459429999999, 8.4876343 50.08487889999999, 8.4876032 50.08489019999999, 8.487533200000001 50.0849155, 8.4876381 50.08519, 8.4876987 50.08531700000001, 8.487748099396718 50.08545740474334, 8.493316187733788 50.085481839393736))",0,[],7.978969740925375,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
17,"POLYGON ((8.493617620139101 50.10697257127035, 8.4940714 50.10665279999999, 8.4941123 50.1066241, 8.4960979 50.1060065, 8.496138 50.10604429999999, 8.496221 50.10612269999999, 8.4964304 50.1063203, 8.497687438554507 50.10751973922713, 8.498072459429599 50.10752140422439, 8.4983142 50.1073904, 8.4995435 50.106724799999995, 8.4996575 50.106718199999996, 8.5000015 50.10684609999999, 8.500216000000002 50.106925800000006, 8.500595174980973 50.10706675059654, 8.500636120729382 50.10312868418946, 8.493658463625868 50.10309846489025, 8.493617620139101 50.10697257127035))",0,[],9.014050981911808,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
18,"POLYGON ((8.497687438554507 50.10751973922713, 8.4977507 50.10758009999999, 8.4978476 50.10759099999999, 8.4977896 50.107616799999995, 8.4978174 50.10764349999999, 8.4978749 50.1076179, 8.497985000000002 50.1075688, 8.498072459429599 50.10752140422439, 8.497687438554507 50.10751973922713))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
19,"POLYGON ((8.500636120729382 50.10312868418946, 8.500681895853955 50.09872510385938, 8.493704878304298 50.09869488924884, 8.493658463625868 50.10309846489025, 8.500636120729382 50.10312868418946))",0,[],9.014050981911806,Other,1,1,0.0,1,{'surface': 1},0,0,0,0,1,0,0,0,0,0,3,1
20,"POLYGON ((8.500681895853955 50.09872510385938, 8.500727659646532 50.09432152014064, 8.493751281492429 50.09429131021788, 8.493704878304298 50.09869488924884, 8.500681895853955 50.09872510385938))",0,[],9.014050981911808,Other,38,80,0.05689900426742532,2,"{'underground': 1, 'surface': 1}",2,0,0,0,2,0,1,0,0,0,7,1
21,"POLYGON ((8.500727659646532 50.09432152014064, 8.50077341211077 50.089917933033085, 8.49379767319396 50.08988772779729, 8.493751281492429 50.09429131021788, 8.500727659646532 50.09432152014064))",0,[],9.014050981911808,Other,27,57,0.0811965811965812,1,{'surface': 1},0,0,0,1,1,0,0,0,0,0,1,0
22,"POLYGON ((8.50077341211077 50.089917933033085, 8.500819153250314 50.085514342536676, 8.494987423556685 50.08548912123082, 8.4950763 50.08591510000001, 8.4947444 50.0858662, 8.4947201 50.085701699999994, 8.493843197809632 50.085565387404635, 8.49379767319396 50.08988772779729, 8.50077341211077 50.089917933033085))",0,[],9.014050981911808,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
23,"POLYGON ((8.500819153250314 50.085514342536676, 8.500860833783932 50.0815007222952, 8.5001176 50.08155159999999, 8.4998836 50.0816028, 8.4987512 50.082049600000005, 8.4987298 50.0820686, 8.498721900000001 50.0820758, 8.4987075 50.08211669999999, 8.4987919 50.08229980000001, 8.4987698 50.0823107, 8.4987189 50.0823359, 8.498632 50.08237890000001, 8.4976501 50.08286459999999, 8.4975941 50.08289229999999, 8.4970823 50.08314539999999, 8.4959174 50.0837509, 8.4958792 50.08377070000001, 8.4958781 50.083771299999995, 8.4949801 50.08428109999999, 8.4948701 50.0843427, 8.4947596 50.0844042, 8.494769 50.08444219999999, 8.494987423556685 50.08548912123082, 8.500819153250314 50.085514342536676))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
24,"POLYGON ((8.500595174980973 50.10706675059654, 8.5007204 50.10711330000001, 8.501862645455379 50.10753772648397, 8.507568642862806 50.10756206575024, 8.507613789607008 50.103158484184334, 8.500636120729382 50.10312868418946, 8.500595174980973 50.10706675059654))",0,[],9.014050981911808,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
25,"POLYGON ((8.501862645455379 50.10753772648397, 8.502287 50.1076954, 8.5022942 50.107746799999994, 8.500578445501795 50.10867550112669, 8.50056639172579 50.109834533313304, 8.5015676 50.110593800000004, 8.5016581 50.1106624, 8.5016944 50.11069319999999, 8.5017086 50.11070539999999, 8.5018015 50.1107842, 8.502419 50.11130849999999, 8.5025238 50.111397399999994, 8.5029715 50.111776500000005, 8.5030482 50.1118414, 8.503173021393648 50.11194711099823, 8.507523484937714 50.11196564392845, 8.507568642862806 50.10756206575024, 8.501862645455379 50.10753772648397))",0,[],9.014050981911808,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
26,"POLYGON ((8.503173021393648 50.11194711099823, 8.5037085 50.1124006, 8.5038532 50.11252330000001, 8.5039875 50.11263720000001, 8.5041176 50.11274740000001, 8.5045598 50.1131224, 8.5050611 50.11354709999999, 8.505187800000002 50.1136544, 8.5055845 50.1139905, 8.5064623 50.11473419999999, 8.506551800000002 50.114810199999994, 8.5065543 50.1148184, 8.5065469 50.1148197, 8.5066167 50.114882099999996, 8.5066205 50.1148856, 8.5073008 50.11550210000001, 8.5073267 50.1155256, 8.5072241 50.1156372, 8.50725 50.11567389999999, 8.5072793 50.115715599999994, 8.507482039423078 50.1160062436618, 8.507523484937714 50.11196564392845, 8.503173021393648 50.11194711099823))",0,[],9.014050981911808,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
27,"POLYGON ((8.507613789607008 50.103158484184334, 8.507658925173924 50.098754899230656, 8.500681895853955 50.09872510385938, 8.500636120729382 50.10312868418946, 8.507613789607008 50.103158484184334))",0,[],9.01405098191181,Other,10,16,0.17777777777777778,0,{},0,0,0,1,0,0,0,0,0,0,2,0
28,"POLYGON ((8.507658925173924 50.098754899230656, 8.507704049567158 50.09435131088914, 8.500727659646532 50.09432152014064, 8.500681895853955 50.09872510385938, 8.507658925173924 50.098754899230656))",0,[],9.014050981911808,Other,19,32,0.0935672514619883,3,"{'multi-storey': 1, 'surface': 1, 'street_side': 1}",1,0,0,0,0,0,1,0,0,0,2,0
29,"POLYGON ((8.507704049567158 50.09435131088914, 8.50774916279031 50.08994771915968, 8.50077341211077 50.089917933033085, 8.500727659646532 50.09432152014064, 8.507704049567158 50.09435131088914))",1,[[<POINT (8.503 50.092)>]],9.01405098191181,Other,9,15,0.20833333333333334,3,{'surface': 3},0,0,0,0,0,0,0,0,0,0,2,0
30,"POLYGON ((8.50774916279031 50.08994771915968, 8.507794264846979 50.08554412404219, 8.500819153250314 50.085514342536676, 8.50077341211077 50.089917933033085, 8.50774916279031 50.08994771915968))",0,[],9.014050981911808,Other,6,12,0.4,3,"{'multi-storey': 2, 'surface': 1}",0,0,0,2,0,0,1,0,0,0,3,0
31,"POLYGON ((8.507794264846979 50.08554412404219, 8.507839355740758 50.08114052553658, 8.501824299518562 50.08111486965021, 8.5018924 50.08133609999998, 8.5018379 50.0813657, 8.5015705 50.0814304, 8.5013578 50.0814667, 8.500860833783932 50.0815007222952, 8.500819153250314 50.085514342536676, 8.507794264846979 50.08554412404219))",0,[],9.014050981911808,Other,2,2,1.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
