,geometry,EV_stations_counts,EV_stations_geomery,population,landuse,nodes,edges,density,parking_count,parking_types,restaurant_count,library_count,university_count,school_count,park_count,townhall_count,Community_centre_count,government_count,civic_count,commercial_count,retail_count,place_of_worship_count
0,"POLYGON ((8.1430883 49.97857990000001, 8.1451547 49.9789254, 8.1448015 49.9797864, 8.1454259 49.9799091, 8.144147200000003 49.98191829999999, 8.14386265154606 49.98241167117187, 8.149869816829721 49.98245584582627, 8.149946992905708 49.97807625480666, 8.143663901093866 49.97803004652541, 8.14338 49.9783168, 8.1432613 49.9784372, 8.1430883 49.97857990000001))",0,[],6.953168613162307,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
1,"POLYGON ((8.14386265154606 49.98241167117187, 8.1435156 49.98301339999999, 8.144735 49.9833844, 8.1455413 49.98363599999999, 8.1464336 49.983920899999994, 8.14629 49.9842164, 8.1466615 49.98430950000001, 8.1463732 49.98500529999999, 8.1474907 49.985205400000005, 8.1484467 49.98541879999999, 8.1478466 49.98575619999999, 8.1485848 49.9859642, 8.148943500000001 49.986064899999995, 8.149802220954413 49.986290892463195, 8.149869816829721 49.98245584582627, 8.14386265154606 49.98241167117187))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
2,"POLYGON ((8.149946992905708 49.97807625480666, 8.15002415001932 49.97369666037561, 8.143833942789772 49.973651140555546, 8.1437307 49.973949, 8.1437144 49.97459859999999, 8.1440322 49.9746688, 8.1446966 49.97652999999999, 8.1450956 49.9765839, 8.143663901093866 49.97803004652541, 8.149946992905708 49.97807625480666))",0,[],5.7385334140137445,Other,5,10,0.5,6,{'lane': 6},0,0,0,0,0,0,0,0,0,1,0,0
3,"POLYGON ((8.15002415001932 49.97369666037561, 8.150101288176609 49.96931706253304, 8.14633833439759 49.969289432694374, 8.1459716 49.970261, 8.1452787 49.9714107, 8.1450422 49.97166639999998, 8.144069200000002 49.97297240000001, 8.143833942789772 49.973651140555546, 8.15002415001932 49.97369666037561))",0,[],6.953168613162307,Other,6,10,0.3333333333333333,6,{},0,0,0,0,0,0,1,0,0,0,0,0
4,"POLYGON ((8.150101288176609 49.96931706253304, 8.150178407383631 49.964937461278886, 8.14730932712004 49.96491640717886, 8.1470672 49.965123, 8.1467972 49.9666763, 8.1465771 49.967848, 8.146383 49.9691711, 8.14633833439759 49.969289432694374, 8.150101288176609 49.96931706253304))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
5,"POLYGON ((8.150178407383631 49.964937461278886, 8.150193391014803 49.964086415327984, 8.1501435 49.96407849999999, 8.1486783 49.9637483, 8.14730932712004 49.96491640717886, 8.150178407383631 49.964937461278886))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
6,"POLYGON ((8.149802220954413 49.986290892463195, 8.1500861 49.9863656, 8.1506462 49.98651639999999, 8.15045702289969 49.98684030041653, 8.156642736789257 49.98688543039437, 8.156719310054125 49.98250583507677, 8.149869816829721 49.98245584582627, 8.149802220954413 49.986290892463195))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
7,"POLYGON ((8.15045702289969 49.98684030041653, 8.1503721 49.98698569999999, 8.1512946 49.9871648, 8.1527539 49.98757770000001, 8.1541572 49.987907099999994, 8.1527329 49.9909124, 8.1530338 49.9909879, 8.152926787650324 49.99123850840496, 8.156566144702673 49.991265022302024, 8.156642736789257 49.98688543039437, 8.15045702289969 49.98684030041653))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
8,"POLYGON ((8.152926787650324 49.99123850840496, 8.1524159 49.9924349, 8.151225 49.994215699999984, 8.1526827 49.994728099999996, 8.1539235 49.9950913, 8.1553002 49.995309899999995, 8.156490194886153 49.99560682267965, 8.156566144702673 49.991265022302024, 8.152926787650324 49.99123850840496))",0,[],6.953168613162307,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
9,"POLYGON ((8.156719310054125 49.98250583507677, 8.156795864503295 49.978126236349205, 8.149946992905708 49.97807625480666, 8.149869816829721 49.98245584582627, 8.156719310054125 49.98250583507677))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
