,geometry,EV_stations_counts,EV_stations_geomery,population,landuse,nodes,edges,density,parking_count,parking_types,restaurant_count,library_count,university_count,school_count,park_count,townhall_count,Community_centre_count,government_count,civic_count,commercial_count,retail_count,place_of_worship_count
0,"POLYGON ((6.8276741 49.22033489999999, 6.828393 49.220895600000006, 6.828107768326025 49.22120318360948, 6.83437163817841 49.22132084252894, 6.834565999979607 49.21687437107412, 6.829962211396271 49.21678793355219, 6.828916100000001 49.21816429999999, 6.8276741 49.22033489999999))",0.0,[],4.013376674564997,Other,2,2,1.0,1,{},0,0,0,0,0,0,0,0,0,0,0,0
1,"POLYGON ((6.828107768326025 49.22120318360948, 6.8276387 49.221709, 6.8282914 49.2227996, 6.8286182 49.2240361, 6.829271600000001 49.2244359, 6.8298163 49.2246903, 6.8304857 49.22494410000001, 6.831206300000001 49.225194099999996, 6.831775799999999 49.2252899, 6.834198242529453 49.22528673745637, 6.83437163817841 49.22132084252894, 6.828107768326025 49.22120318360948))",0.0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
2,"POLYGON ((6.834565999979607 49.21687437107412, 6.834721748672224 49.21331046927827, 6.8346592 49.21328379999999, 6.833312499999999 49.214255900000005, 6.832611100000001 49.21405419999999, 6.8310992 49.2152919, 6.829962211396271 49.21678793355219, 6.834565999979607 49.21687437107412))",0.0,[],4.013376674564997,Other,3,3,0.5,0,{},1,0,0,0,0,0,0,0,0,0,0,0
3,"POLYGON ((6.834198242529453 49.22528673745637, 6.8355128 49.225285, 6.835301433535525 49.22578839213928, 6.840913104164786 49.22589346366364, 6.841106910374553 49.22144697655573, 6.83437163817841 49.22132084252894, 6.834198242529453 49.22528673745637))",0.0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
4,"POLYGON ((6.835301433535525 49.22578839213928, 6.8350644 49.2263529, 6.834901100000001 49.226641099999995, 6.835382600000001 49.22706269999999, 6.8354071 49.22754539999999, 6.8358490000000005 49.22780939999999, 6.8364941 49.227726000000004, 6.837702000000001 49.227834200000004, 6.8383269 49.22829879999999, 6.839375500000001 49.2284568, 6.840781977180227 49.22890128061103, 6.840913104164786 49.22589346366364, 6.835301433535525 49.22578839213928))",0.0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
5,"POLYGON ((6.841106910374553 49.22144697655573, 6.841300668841832 49.21700048544086, 6.834565999979607 49.21687437107412, 6.83437163817841 49.22132084252894, 6.841106910374553 49.22144697655573))",0.0,[],4.013376674564997,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
6,"POLYGON ((6.841300668841832 49.21700048544086, 6.841397571682009 49.214776285657095, 6.8388797 49.2137286, 6.8383678 49.21362259999999, 6.8380198 49.2134616, 6.837838900000001 49.21334759999999, 6.837072600000001 49.2127518, 6.8355223 49.213651799999994, 6.834721748672224 49.21331046927827, 6.834565999979607 49.21687437107412, 6.841300668841832 49.21700048544086))",0.0,[],4.013376674564996,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
7,"POLYGON ((6.840781977180227 49.22890128061103, 6.841822200000001 49.22922999999999, 6.842029199999999 49.230117500000006, 6.842525784936048 49.23037371601011, 6.847455776535067 49.230465727521334, 6.847649026856881 49.22601922481455, 6.840913104164786 49.22589346366364, 6.840781977180227 49.22890128061103))",0.0,[],4.013376674564997,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
8,"POLYGON ((6.842525784936048 49.23037371601011, 6.845570400000001 49.23194449999999, 6.847371535054631 49.23240369827784, 6.847455776535067 49.230465727521334, 6.842525784936048 49.23037371601011))",0.0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
9,"POLYGON ((6.847649026856881 49.22601922481455, 6.847842229569452 49.2215727181042, 6.841106910374553 49.22144697655573, 6.840913104164786 49.22589346366364, 6.847649026856881 49.22601922481455))",0.0,[],4.013376674564997,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
10,"POLYGON ((6.847842229569452 49.2215727181042, 6.848018380184627 49.21751770222649, 6.8478914 49.2174372, 6.8478384 49.21732219999999, 6.847649500000001 49.2173032, 6.847615500000001 49.21719319999999, 6.8474435 49.2172042, 6.8472535 49.2171582, 6.847245477704035 49.217111481968615, 6.841300668841832 49.21700048544086, 6.841106910374553 49.22144697655573, 6.847842229569452 49.2215727181042))",0.0,[],4.013376674564997,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
