,geometry,EV_stations_counts,EV_stations_aperage,EV_stations_voltage,EV_stations_capacity,EV_stations_geomery,population,landuse,nodes,edges,density,parking_count,parking_types,restaurant_count,library_count,Community_centre_count,school_count,university_count,park_count,townhall_count,government_count,civic_count,commercial_count,retail_count,place_of_worship_count
0,"POLYGON ((13.088345 52.419632500000006, 13.088960108500904 52.419824797250165, 13.095651102995511 52.419932782023956, 13.095843373561534 52.41547098874601, 13.089650983906232 52.41537106984838, 13.088345 52.419632500000006))",0,[],[],[],[],10.022101410748055,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
1,"POLYGON ((13.088960108500904 52.419824797250165, 13.09556675041384 52.42188988177683, 13.095651102995511 52.419932782023956, 13.088960108500904 52.419824797250165))",0,[],[],[],[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
2,"POLYGON ((13.095843373561534 52.41547098874601, 13.096035593800769 52.41100919158385, 13.092649454283285 52.41095459712751, 13.0923549 52.4111158, 13.0921238 52.4112421, 13.0914423 52.4114007, 13.090763500000001 52.41156019999999, 13.090275 52.412214199999994, 13.0901879 52.4127306, 13.0902096 52.4133864, 13.090208600000002 52.4135513, 13.089650983906232 52.41537106984838, 13.095843373561534 52.41547098874601))",0,[],[],[],[],10.022101410748053,Other,0,0,0.0,0,{},1,0,0,0,0,0,0,0,0,0,0,0
3,"POLYGON ((13.096035593800769 52.41100919158385, 13.096088325541139 52.40978498279053, 13.0934123 52.41053709999999, 13.092649454283285 52.41095459712751, 13.096035593800769 52.41100919158385))",0,[],[],[],[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
4,"POLYGON ((13.09556675041384 52.42188988177683, 13.0958391 52.421975, 13.0977237 52.423466, 13.0980539 52.4240168, 13.0980883 52.4240742, 13.098228153422305 52.42443915752183, 13.102340252000388 52.42450524134669, 13.102777179140551 52.42442784752637, 13.102965140202054 52.42005038824427, 13.095651102995511 52.419932782023956, 13.09556675041384 52.42188988177683))",0,[],[],[],[],10.022101410748055,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
5,"POLYGON ((13.098228153422305 52.42443915752183, 13.0984005 52.4248889, 13.0993138 52.4253441, 13.0999756 52.42544769999999, 13.1004663 52.42530409999999, 13.1009493 52.4251627, 13.1016009 52.42463619999999, 13.102340252000388 52.42450524134669, 13.098228153422305 52.42443915752183))",0,[],[],[],[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
6,"POLYGON ((13.102965140202054 52.42005038824427, 13.103156673395667 52.41558857613849, 13.095843373561534 52.41547098874601, 13.095651102995511 52.419932782023956, 13.102965140202054 52.42005038824427))",0,[],[],[],[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
7,"POLYGON ((13.103156673395667 52.41558857613849, 13.103348156455175 52.411126760152264, 13.101050858484514 52.411089873868505, 13.1010763 52.41127420000001, 13.1011003 52.41143319999999, 13.1011219 52.411576999999994, 13.1010685 52.411809299999994, 13.101047 52.4118862, 13.1009758 52.4121861, 13.1008116 52.41271859999999, 13.1007304 52.4129901, 13.1007324 52.41301899999999, 13.1007523 52.413345099999994, 13.1008521 52.413733, 13.1008591 52.413760499999995, 13.1005688 52.4137954, 13.1003122 52.4137846, 13.0999494 52.41372870000001, 13.0998603 52.41371929999999, 13.0992615 52.41362879999999, 13.0991106 52.41360589999999, 13.0981794 52.41344290000001, 13.0980509 52.4134052, 13.0978825 52.41338579999999, 13.0978557 52.41339320000001, 13.0968124 52.41320240000001, 13.0966191 52.4131418, 13.0964503 52.413088899999984, 13.097113000000002 52.41234589999999, 13.0976105 52.41178169999999, 13.0975575 52.411768, 13.0975887 52.4117544, 13.0975922 52.41174180000001, 13.097565900000001 52.4117199, 13.0975449 52.4117178, 13.0975287 52.41170489999998, 13.0975611 52.41169120000001, 13.097586700000003 52.411654899999995, 13.0976533 52.4116256, 13.097718000000002 52.41162249999999, 13.0987649 52.41116029999999, 13.098853099999998 52.41111900000001, 13.0988991 52.4110841, 13.098925880045787 52.41105571461889, 13.096035593800769 52.41100919158385, 13.095843373561534 52.41547098874601, 13.103156673395667 52.41558857613849))",0,[],[],[],[],9.546811011609602,Other,0,0,0.0,1,{'surface': 1},0,0,0,0,0,0,0,0,0,0,0,0
8,"POLYGON ((13.103348156455175 52.411126760152264, 13.103395925515185 52.41001349335955, 13.103178700000003 52.4100612, 13.1010028 52.41053889999999, 13.1009705 52.4106817, 13.1010274 52.4109801, 13.1010457 52.4110525, 13.101050858484514 52.411089873868505, 13.103348156455175 52.411126760152264))",0,[],[],[],[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
9,"POLYGON ((13.098925880045787 52.41105571461889, 13.0989358 52.4110452, 13.0989621 52.41100339999999, 13.0989774 52.410959500000004, 13.098983300000002 52.410914999999996, 13.0989797 52.4108704, 13.0989665 52.41082639999999, 13.0989441 52.4107839, 13.0989217 52.4107537, 13.0988945 52.41072489999998, 13.098850400000002 52.410683, 13.0987739 52.41060979999999, 13.098670800000003 52.410510599999995, 13.0986653 52.4105135, 13.098659100000003 52.410515799999985, 13.0986524 52.410517500000005, 13.0986454 52.4105186, 13.0986382 52.410519, 13.0986309 52.410518800000006, 13.0986223 52.410517799999994, 13.0986141 52.41051590000001, 13.0986065 52.41051310000001, 13.0985998 52.41050959999999, 13.0985942 52.410505499999985, 13.098556599999998 52.41046910000001, 13.098553 52.41046420000001, 13.098550700000002 52.410458999999996, 13.0985499 52.410453600000004, 13.098550700000002 52.4104482, 13.0985529 52.410443, 13.0985565 52.4104382, 13.098561400000001 52.4104339, 13.0985674 52.410430100000006, 13.098574400000002 52.41042699999999, 13.0985821 52.41042459999999, 13.0985466 52.41038900000001, 13.098701700000001 52.41033019999999, 13.098638700000002 52.410260799999996, 13.0986134 52.4102707, 13.0984081 52.410105, 13.0983331 52.4100623, 13.097977100000001 52.40993949999999, 13.0979823 52.40988029999999, 13.097391800000002 52.409418599999995, 13.096088325541139 52.40978498279053, 13.096035593800769 52.41100919158385, 13.098925880045787 52.41105571461889))",0,[],[],[],[],9.309165812040376,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
