,geometry,EV_stations_counts,EV_stations_geomery,population,landuse,nodes,edges,density,parking_count,parking_types,restaurant_count,library_count,university_count,school_count,park_count,townhall_count,Community_centre_count,government_count,civic_count,commercial_count,retail_count,place_of_worship_count
0,"POLYGON ((8.2773142 48.989854799999996, 8.2797578 48.9914917, 8.281468187977426 48.99273361947899, 8.284045637727402 48.99274964282748, 8.284109257398551 48.98830955262056, 8.278631550667706 48.98827543251661, 8.278356 48.988612, 8.2773142 48.989854799999996))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
1,"POLYGON ((8.281468187977426 48.99273361947899, 8.2815906 48.99282250000001, 8.2829014 48.99384539999999, 8.2839882 48.9947413, 8.284016715151681 48.99476782178911, 8.284045637727402 48.99274964282748, 8.281468187977426 48.99273361947899))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
2,"POLYGON ((8.284109257398551 48.98830955262056, 8.284172861478613 48.98386945891734, 8.280901934229568 48.983849117267056, 8.2808697 48.9839495, 8.280063800000002 48.9853273, 8.2794979 48.98620819999999, 8.2792469 48.9867195, 8.2791419 48.987234099999995, 8.2790469 48.98776809999998, 8.278631550667706 48.98827543251661, 8.284109257398551 48.98830955262056))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
3,"POLYGON ((8.284172861478613 48.98386945891734, 8.284174548384708 48.98375168398162, 8.2838653 48.9836865, 8.2825215 48.98339659999999, 8.2810897 48.9830616, 8.281017700000001 48.9834886, 8.280901934229568 48.983849117267056, 8.284172861478613 48.98386945891734))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
4,"POLYGON ((8.284016715151681 48.99476782178911, 8.2861797 48.996779499999995, 8.286573647071952 48.99720578413993, 8.290755319790783 48.9972315658136, 8.29081835321079 48.99279147259889, 8.284045637727402 48.99274964282748, 8.284016715151681 48.99476782178911))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
5,"POLYGON ((8.286573647071952 48.99720578413993, 8.2876592 48.998380399999995, 8.2881195 48.9989525, 8.2890872 49.0001659, 8.290207439588066 49.00166867392544, 8.290692270917376 49.001671655533286, 8.290755319790783 48.9972315658136, 8.286573647071952 48.99720578413993))",0,[],5.535613522714614,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
6,"POLYGON ((8.290207439588066 49.00166867392544, 8.290683248812055 49.002306929801726, 8.290692270917376 49.001671655533286, 8.290207439588066 49.00166867392544))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
7,"POLYGON ((8.29081835321079 48.99279147259889, 8.290881371182268 48.98835137588907, 8.284109257398551 48.98830955262056, 8.284045637727402 48.99274964282748, 8.29081835321079 48.99279147259889))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
8,"POLYGON ((8.290881371182268 48.98835137588907, 8.290925061550997 48.98527241522927, 8.2905783 48.9852014, 8.2886266 48.9847814, 8.2878037 48.984598399999996, 8.2864949 48.9842855, 8.2852981 48.9839885, 8.284750304654912 48.983873040360734, 8.284172861478613 48.98386945891734, 8.284109257398551 48.98830955262056, 8.290881371182268 48.98835137588907))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
9,"POLYGON ((8.284750304654912 48.983873040360734, 8.284174548384708 48.98375168398162, 8.284172861478613 48.98386945891734, 8.284750304654912 48.983873040360734))",0,[],0.0,Other,0,0,0.0,0,{},0,0,0,0,0,0,0,0,0,0,0,0
